#Delta     a_sc

 0.7015   639.424466719631
 0.7025   687.516520514668
 0.7035   743.843183687042
 0.7045   810.719455632887
 0.7055   891.417799472205
 0.7065   990.720278411676
 0.7075   1115.90244121111
 0.7085   1278.60219549329
 0.7095   1498.66583449300


 0.701   617.921657850085
 0.702   662.558398527806
 0.703   714.523670914379
 0.704   775.785549030086
 0.705   849.086064427247
 0.706   938.363173221042
 0.707   1049.48255306598
 0.708   1191.58168082959
 0.709   1379.72064594415
 0.710   1640.60870394915

 0.7105   1812.93415170932
 0.711   2026.56796285838
 0.7115   2298.38803849248
 0.7125   3147.28270320955
 0.7126   3268.48725195292
 0.7128   3541.56426566142
 0.7130   3864.94825815727
 0.7132   4253.95167319789
 0.7135   5012.02754919591
 0.7138   6101.80610021406

 0.712   2655.91668409204
 0.713   3864.94825815727
 0.714   7138.47563385792
 0.715   48648.3329412839
 0.7155  -25288.4669664803
 0.716  -10013.1975012031
 0.7165  -6233.65856929793
 0.717  -4520.81338709121

 0.7114   2238.25823759474
 0.7116   2361.88510167748
 0.7118   2500.17953376322
 0.7122   2832.61886684425
 0.7124   3034.82523888591
 0.7128   3541.56426566142
 0.7130   3864.94825815727
 0.7134   4730.80299891237
 0.7136   5329.04850582151
 0.7142   8602.09585975194
 0.7144   10824.8275836876
 0.7146   14604.0233264010
 0.7148   22455.3563625341
 0.7150   48648.3329412839
 0.7152  -289253.800969321
 0.7154  -36355.8573747074
 0.7156  -19383.3932319895
 0.7158  -13208.0696570152

 0.718  -2911.62555343049
 0.719  -2142.99341758097
 0.72  -1692.70039681045

 0.73  -529.765838662022
 0.74  -303.288027522742
 0.76  -152.944781111606
 0.77  -118.693724312705
 0.78  -94.8899319679767
 0.79  -77.3442072007019

 0.75  -206.643163354682
 0.8  -63.8426508938082
 0.9     NaN

 #************************************************
